Day of Year,Year,Month,Day,First Hour of Period,Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Average Wind Speed (Day),Sky Cover,Visibility,Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated
92,2009,4,2,19,True,0.534822602,54,27,25.1,2,10.0,74,25.0,29.91,568
11,2009,1,11,16,True,0.481228669,48,3,2.7,3,10.0,72,5.0,30.35,7538
75,2009,3,16,13,True,0.058414465,59,20,8.6,3,10.0,72,10.0,30.26,15051
208,2009,7,27,13,True,0.051522248,61,29,14.2,1,10.0,59,14.0,29.9,18889
344,2008,12,9,16,True,0.516464471,49,6,6.4,1,10.0,67,11.0,30.26,5580
264,2008,9,20,16,True,0.323328786,65,28,10.3,3,10.0,75,15.0,30.01,12847
282,2008,10,8,7,True,0.431059507,66,27,12.6,0,9.0,90,3.0,30.02,3816
137,2009,5,17,7,True,0.35705951,74,30,9.0,0,10.0,70,0.0,29.89,8363
297,2008,10,23,13,True,0.100763359,69,31,4.3,0,10.0,64,3.0,30.0,24209
161,2009,6,10,16,True,0.261312217,62,26,10.5,3,10.0,61,13.0,29.95,19602
315,2008,11,10,7,True,0.379254457,55,28,8.5,3,10.0,90,9.0,30.07,381
228,2009,8,16,13,True,0.056441718,65,30,11.1,1,10.0,53,14.0,29.9,31397
49,2009,2,18,16,True,0.420091324,50,7,3.8,4,10.0,62,0.0,30.19,7755
194,2009,7,13,10,True,0.155784651,70,28,10.6,0,10.0,63,3.0,30.01,28056
267,2008,9,23,1,False,0.913103448,69,29,8.7,0,10.0,81,6.0,29.97,0
300,2008,10,26,22,False,0.935185185,60,29,11.3,1,8.0,93,15.0,30.13,0
120,2009,4,30,13,True,0.064242424,55,27,12.0,3,10.0,44,15.0,30.15,29768
209,2009,7,28,22,False,0.685446009,62,27,12.8,4,10.0,87,13.0,29.86,0
98,2009,4,8,1,False,0.865806452,56,21,9.6,4,10.0,86,10.0,29.98,0
263,2008,9,19,4,False,0.657142857,63,21,7.3,1,10.0,80,5.0,29.98,0
321,2008,11,16,13,True,0.20661157,63,5,2.0,1,8.0,73,8.0,30.06,21472
236,2009,8,24,7,True,0.391468005,61,27,8.1,1,9.0,80,0.0,29.94,855
7,2009,1,7,1,False,1.058419244,49,1,3.8,4,8.0,93,5.0,30.26,0
335,2008,11,30,1,False,1.023931624,55,7,2.3,0,10.0,80,0.0,30.17,0
217,2009,8,5,1,False,0.807646356,66,26,14.0,1,10.0,81,16.0,30.0,0
208,2009,7,27,22,False,0.683840749,61,29,14.2,3,10.0,90,10.0,29.91,0
185,2009,7,4,7,True,0.35600907,64,27,11.0,3,10.0,78,0.0,30.0,1643
222,2009,8,10,4,False,0.598548972,73,30,10.3,0,10.0,84,5.0,29.88,0
235,2009,8,23,10,True,0.165206508,62,28,11.6,2,10.0,63,10.0,29.94,14255
354,2008,12,19,4,False,0.745200698,49,26,9.2,4,10.0,86,11.0,30.23,0
347,2008,12,12,4,False,0.737391304,53,27,9.4,4,10.0,86,0.0,29.94,0
32,2009,2,1,4,False,0.713365539,54,32,1.9,1,10.0,83,0.0,30.15,0
126,2009,5,6,7,True,0.365591398,64,28,10.1,3,10.0,90,5.0,30.14,6188
109,2009,4,19,10,True,0.16125,69,30,3.9,0,10.0,75,3.0,30.11,27440
29,2009,1,29,4,False,0.721498371,54,10,4.8,0,10.0,86,6.0,30.3,0
78,2009,3,19,7,True,0.436038514,59,28,12.4,1,9.0,86,13.0,30.03,3324
122,2009,5,2,7,True,0.370772947,60,18,11.0,4,10.0,81,5.0,30.04,2126
157,2009,6,6,4,True,0.553916005,62,28,10.6,2,10.0,80,0.0,29.93,0
258,2008,9,14,19,True,0.555555556,62,29,10.1,1,10.0,78,18.0,29.97,218
132,2009,5,12,13,True,0.063679245,56,27,19.0,2,10.0,48,23.0,30.06,34324
93,2009,4,3,22,False,0.769331586,51,28,18.0,0,10.0,71,14.0,30.0,0
129,2009,5,9,1,False,0.790035587,58,28,16.8,0,10.0,83,17.0,29.95,0
270,2008,9,26,7,True,0.418636996,66,29,10.7,2,9.0,84,6.0,29.93,3661
359,2008,12,24,7,True,0.436300175,51,14,10.4,4,10.0,83,5.0,29.82,0
70,2009,3,11,22,False,0.820367751,50,28,5.9,0,10.0,77,7.0,30.06,0
151,2009,5,31,10,True,0.144977169,58,27,11.8,4,10.0,80,7.0,30.01,7998
270,2008,9,26,1,False,0.919332406,66,29,10.7,0,10.0,81,6.0,29.91,0
111,2009,4,21,7,True,0.382608696,74,29,6.7,3,10.0,70,0.0,29.95,6918
323,2008,11,18,16,True,0.506644518,57,29,9.3,1,9.0,83,16.0,30.09,4702
29,2009,1,29,19,True,0.744299674,54,10,4.8,0,10.0,75,0.0,30.3,0
312,2008,11,7,16,True,0.493569132,62,30,5.2,1,10.0,55,11.0,30.11,7336
174,2009,6,23,10,True,0.148984199,66,30,11.5,0,10.0,65,5.0,29.73,28488
120,2009,4,30,10,True,0.153939394,55,27,12.0,3,10.0,55,13.0,30.19,27741
280,2008,10,6,10,True,0.170028818,66,28,10.5,1,9.0,73,5.0,30.1,22044
6,2009,1,6,19,False,0.8,49,17,3.5,3,10.0,93,9.0,30.27,0
299,2008,10,25,7,True,0.452307692,68,29,4.6,0,8.0,80,0.0,30.05,2497
300,2008,10,26,7,True,0.453703704,60,29,11.3,1,9.0,96,6.0,30.08,1384
58,2009,2,27,10,True,0.120943953,52,32,5.2,2,10.0,66,8.0,30.21,20749
167,2009,6,16,10,True,0.147688839,61,27,15.0,4,9.0,78,8.0,29.93,17545
34,2009,2,3,4,False,0.711538462,56,32,3.1,0,5.0,86,0.0,30.11,0
128,2009,5,8,13,True,0.064209275,61,28,15.3,0,10.0,54,23.0,30.01,33944
87,2009,3,28,7,True,0.421122995,59,28,12.1,0,9.0,83,5.0,30.0,4023
309,2008,11,4,4,False,0.657643312,55,29,13.3,3,10.0,83,5.0,30.01,0
276,2008,10,2,22,False,0.854907539,67,27,9.5,2,10.0,90,16.0,29.92,0
313,2008,11,8,10,True,0.086956522,58,27,10.2,4,10.0,81,7.0,30.06,5851
247,2008,9,3,10,True,0.166882277,73,29,7.9,0,10.0,69,3.0,29.88,23855
67,2009,3,8,13,True,0.057142857,52,26,13.4,1,10.0,59,17.0,30.01,31911
79,2009,3,20,10,True,0.187928669,54,27,15.6,3,9.0,83,10.0,29.97,21293
362,2008,12,27,7,True,0.43728223,45,12,1.3,2,10.0,93,0.0,30.37,0
180,2009,6,29,13,True,0.053107345,62,30,13.3,1,9.0,61,20.0,29.8,34434
158,2009,6,7,16,True,0.261904762,63,27,16.0,2,10.0,53,24.0,29.94,21273
235,2009,8,23,16,True,0.285356696,62,28,11.6,2,10.0,65,29.0,29.91,18413
315,2008,11,10,22,False,1.079416532,55,28,8.5,3,10.0,83,9.0,30.13,0
102,2009,4,12,7,True,0.394904459,56,27,17.5,2,10.0,86,9.0,30.26,5715
86,2009,3,27,19,True,0.542895442,62,28,9.9,1,10.0,72,13.0,29.99,404
69,2009,3,10,4,False,0.709219858,48,27,6.3,0,10.0,79,3.0,30.16,0
257,2008,9,13,1,False,0.886666667,61,29,9.0,3,10.0,80,8.0,29.9,0
200,2009,7,19,7,True,0.364896074,64,30,13.1,2,10.0,84,8.0,29.91,6677
346,2008,12,11,7,True,0.421875,50,29,4.9,1,10.0,83,9.0,30.18,25
354,2008,12,19,16,True,0.511343805,49,26,9.2,2,10.0,59,16.0,30.31,5367
77,2009,3,18,7,True,0.439226519,58,29,8.0,4,8.0,90,0.0,30.22,3180
110,2009,4,20,10,True,0.160647572,75,31,5.5,1,9.0,73,7.0,30.05,27058
153,2009,6,2,10,True,0.145785877,60,28,12.2,3,10.0,72,18.0,29.95,9344
61,2009,3,2,7,True,0.381924198,57,19,20.8,4,3.0,93,17.0,29.91,21
230,2009,8,18,10,True,0.164197531,62,29,11.5,1,9.0,73,13.0,29.88,20290
20,2009,1,20,7,True,0.436454849,55,13,1.5,1,10.0,86,0.0,30.15,207
353,2008,12,18,7,True,0.431064572,47,20,8.7,1,10.0,77,7.0,30.05,37
348,2008,12,13,1,False,1.050434783,49,29,15.9,3,10.0,72,22.0,29.84,0
327,2008,11,22,13,True,0.208053691,54,28,6.0,2,10.0,70,3.0,30.1,21808
91,2009,4,1,19,True,0.536939314,56,27,19.3,2,10.0,80,25.0,29.93,523
212,2009,7,31,16,True,0.264775414,62,28,12.8,2,10.0,70,24.0,29.92,17733
358,2008,12,23,22,False,1.136125654,47,13,3.6,4,10.0,77,6.0,29.89,0
90,2009,3,31,7,True,0.415343915,57,27,12.6,1,9.0,86,3.0,30.11,4386
60,2009,3,1,10,True,0.120058565,59,14,9.9,4,10.0,83,5.0,30.04,2396
325,2008,11,20,19,False,0.808013356,57,27,6.6,0,10.0,78,10.0,30.21,0
144,2009,5,24,4,True,0.561707036,52,25,13.0,4,10.0,83,14.0,29.98,0
128,2009,5,8,7,True,0.363852556,61,28,15.3,0,10.0,72,0.0,30.03,8482
17,2009,1,17,22,False,1.077441077,52,6,1.1,0,8.0,77,0.0,30.19,0
288,2008,10,14,7,True,0.438518519,65,29,4.9,0,10.0,75,0.0,30.18,3473
239,2009,8,27,1,False,0.849367089,71,29,9.8,2,10.0,93,10.0,30.05,0
5,2009,1,5,22,False,1.113989637,46,4,4.2,3,9.0,86,7.0,30.25,0
315,2008,11,10,1,False,0.962722853,55,28,8.5,1,10.0,86,11.0,29.98,0
133,2009,5,13,1,False,0.783529412,58,27,16.6,0,10.0,77,22.0,30.04,0
15,2009,1,15,7,True,0.438240271,56,13,3.2,1,10.0,83,5.0,30.15,15
59,2009,2,28,13,True,0.143906021,55,10,3.1,4,10.0,70,5.0,30.01,11983
140,2009,5,20,16,True,0.271777003,57,27,12.3,2,10.0,56,17.0,29.92,20973
189,2009,7,8,7,True,0.358361775,64,28,17.7,1,10.0,72,13.0,29.95,8087
160,2009,6,9,1,False,0.75678733,62,26,11.2,4,10.0,78,7.0,29.88,0
179,2009,6,28,16,True,0.256207675,70,30,11.6,1,10.0,50,23.0,29.8,20767
237,2009,8,25,19,True,0.513207547,63,29,9.8,1,10.0,78,16.0,29.93,802
113,2009,4,23,4,False,0.602469136,57,26,10.4,2,10.0,80,9.0,29.9,0
206,2009,7,25,10,True,0.158878505,60,29,15.0,1,10.0,70,14.0,29.99,21787
213,2009,8,1,16,True,0.265402844,63,28,13.0,2,10.0,73,20.0,29.97,18771
85,2009,3,26,22,False,0.787348587,57,27,15.7,0,9.0,83,20.0,29.99,0
233,2009,8,21,7,True,0.389788294,68,29,9.2,4,9.0,87,3.0,29.92,1211
108,2009,4,18,19,True,0.515037594,59,30,8.3,1,10.0,75,10.0,30.05,793
101,2009,4,11,4,False,0.627877238,54,27,18.0,1,10.0,80,14.0,29.97,0
70,2009,3,11,10,True,0.198019802,50,28,5.9,1,10.0,74,5.0,30.07,24003
248,2008,9,4,7,True,0.40077821,76,30,6.9,0,10.0,70,0.0,29.84,4750
320,2008,11,15,7,True,0.385502471,69,14,5.0,1,10.0,54,8.0,30.12,746
147,2009,5,27,16,True,0.267508611,60,30,11.4,1,10.0,65,22.0,29.83,20644
279,2008,10,5,7,True,0.427546628,65,28,11.1,2,10.0,81,8.0,29.99,2198
335,2008,11,30,16,True,0.514529915,55,7,2.3,2,6.0,75,0.0,30.09,5548
151,2009,5,31,22,False,0.676940639,58,27,11.8,4,10.0,83,10.0,29.95,0
50,2009,2,19,1,False,0.946889226,53,16,3.0,0,10.0,86,3.0,30.19,0
115,2009,4,25,13,True,0.063882064,52,26,18.0,1,10.0,57,23.0,30.16,34976
180,2009,6,29,16,True,0.256497175,62,30,13.3,1,8.0,61,18.0,29.77,21417
178,2009,6,27,10,True,0.150112867,70,30,9.7,0,9.0,71,3.0,29.92,27771
175,2009,6,24,10,True,0.148816234,63,32,7.9,1,10.0,73,6.0,29.87,25265
166,2009,6,15,16,True,0.259593679,62,27,11.2,3,10.0,63,18.0,29.94,21711
352,2008,12,17,10,True,0.115183246,43,29,8.4,0,10.0,60,3.0,30.04,13602
251,2008,9,7,7,True,0.401832461,62,29,14.9,1,10.0,84,8.0,29.76,2963
104,2009,4,14,7,True,0.392902408,50,29,26.6,1,10.0,58,16.0,29.97,6318
347,2008,12,12,10,True,0.111304348,53,27,9.4,1,4.0,80,0.0,29.97,12297
44,2009,2,13,13,True,0.148606811,49,21,8.1,2,10.0,57,10.0,29.96,23594
283,2008,10,9,7,True,0.43231441,62,27,14.6,1,10.0,75,9.0,29.96,3837
254,2008,9,10,22,False,0.785714286,64,28,9.7,1,10.0,84,8.0,29.85,0
84,2009,3,25,16,True,0.301886792,55,27,16.1,3,10.0,62,24.0,30.1,14349
362,2008,12,27,4,False,0.75087108,45,12,1.3,2,10.0,89,0.0,30.34,0
363,2008,12,28,19,False,0.813913043,51,10,2.4,2,10.0,80,3.0,30.27,0
114,2009,4,24,19,True,0.507389163,53,27,24.4,2,10.0,69,31.0,30.04,944
262,2008,9,18,13,True,0.075983718,60,26,7.9,0,10.0,49,15.0,30.02,29378
317,2008,11,12,19,False,0.792822186,60,28,5.9,3,10.0,93,8.0,30.21,0
127,2009,5,7,7,True,0.364719905,59,27,16.8,1,9.0,90,7.0,30.17,8421
161,2009,6,10,1,False,0.75678733,62,26,10.5,4,10.0,81,8.0,29.94,0
53,2009,2,22,1,False,0.934032984,56,15,9.4,4,10.0,78,20.0,29.97,0
68,2009,3,9,4,False,0.711237553,49,29,13.2,0,10.0,65,10.0,30.04,0
83,2009,3,24,7,True,0.427604871,52,27,10.7,1,10.0,80,3.0,30.27,3507
211,2009,7,30,22,False,0.688679245,63,26,11.6,4,10.0,87,8.0,29.95,0
210,2009,7,29,7,True,0.371764706,65,27,13.6,4,10.0,84,6.0,29.87,938
43,2009,2,12,19,True,0.708074534,49,22,6.0,4,10.0,74,6.0,30.15,0
130,2009,5,10,1,False,0.78816568,58,28,15.8,1,10.0,83,7.0,29.97,0
192,2009,7,11,10,True,0.154109589,62,28,13.3,3,10.0,68,13.0,30.02,22926
122,2009,5,2,1,False,0.805555556,60,18,11.0,3,10.0,87,10.0,29.97,0
136,2009,5,16,4,True,0.568421053,71,30,6.4,0,10.0,80,3.0,29.85,0
35,2009,2,4,4,False,0.709265176,53,20,4.5,2,10.0,96,7.0,29.97,0
212,2009,7,31,19,True,0.477541371,62,28,12.8,2,9.0,87,13.0,29.94,734
233,2009,8,21,16,True,0.282689913,68,29,9.2,2,10.0,55,18.0,29.81,18040
303,2008,10,29,1,False,1.018720749,56,30,8.3,1,10.0,96,8.0,30.1,0
59,2009,2,28,4,False,0.649045521,55,10,3.1,3,10.0,80,5.0,30.06,0
257,2008,9,13,22,False,0.793333333,61,29,9.0,1,10.0,83,7.0,29.93,0
45,2009,2,14,1,False,0.962962963,48,14,12.3,2,10.0,86,6.0,29.98,0
30,2009,1,30,16,True,0.448946515,52,29,4.8,0,9.0,56,3.0,30.21,10418
199,2009,7,18,16,True,0.258362168,64,30,13.0,3,10.0,70,23.0,29.9,18452
76,2009,3,17,13,True,0.058171745,58,28,9.0,3,10.0,72,5.0,30.28,27142
281,2008,10,7,7,True,0.429190751,65,28,10.2,3,10.0,96,0.0,30.16,0
46,2009,2,15,16,True,0.424615385,49,13,16.6,4,4.0,83,16.0,29.71,121
237,2009,8,25,4,False,0.618867925,63,29,9.8,4,10.0,83,5.0,29.96,0
322,2008,11,17,16,True,0.504966887,64,9,1.2,2,10.0,49,0.0,30.08,5527
16,2009,1,16,22,False,1.07925801,55,12,2.0,0,10.0,59,0.0,30.24,0
146,2009,5,26,10,True,0.145977011,60,30,10.5,1,10.0,59,9.0,29.91,29040
326,2008,11,21,4,False,0.69681742,55,28,6.6,0,10.0,83,0.0,30.16,0
38,2009,2,7,19,True,0.721518987,55,32,5.3,0,10.0,66,5.0,29.84,0
195,2009,7,14,13,True,0.050400916,73,30,10.4,0,10.0,33,13.0,29.83,32195
360,2008,12,25,7,True,0.43554007,47,28,21.1,4,10.0,93,24.0,29.67,0
287,2008,10,13,10,True,0.171344165,64,28,6.4,0,10.0,21,0.0,30.27,23961
250,2008,9,6,10,True,0.166883963,75,30,8.6,1,10.0,66,3.0,29.82,22761
213,2009,8,1,1,False,0.800947867,63,28,13.0,4,9.0,90,13.0,29.95,0
77,2009,3,18,10,True,0.190607735,58,29,8.0,3,7.0,83,0.0,30.22,23463
68,2009,3,9,22,False,0.825035562,49,29,13.2,0,10.0,68,8.0,30.16,0
8,2009,1,8,22,False,1.102915952,48,4,3.8,0,8.0,89,0.0,30.22,0
203,2009,7,22,19,True,0.468677494,59,27,13.7,3,10.0,83,16.0,29.9,1837
248,2008,9,4,4,False,0.634241245,76,30,6.9,0,10.0,78,6.0,29.82,0
193,2009,7,12,19,True,0.462857143,62,28,16.1,2,10.0,67,23.0,30.04,2011
17,2009,1,17,19,True,0.774410774,52,6,1.1,0,8.0,62,0.0,30.15,0
65,2009,3,6,1,False,0.89352518,52,28,12.6,3,10.0,77,14.0,30.14,0
347,2008,12,12,13,True,0.20173913,53,27,9.4,3,9.0,67,8.0,29.9,15931
337,2008,12,2,4,False,0.718696398,56,28,6.9,4,10.0,86,11.0,30.17,0
209,2009,7,28,13,True,0.051643192,62,27,12.8,1,10.0,68,18.0,29.86,28694
166,2009,6,15,1,False,0.756207675,62,27,11.2,3,10.0,81,7.0,29.94,0
211,2009,7,30,4,False,0.58490566,63,26,11.6,4,10.0,84,9.0,29.89,0
307,2008,11,2,22,False,1.055379747,62,23,8.1,2,10.0,83,5.0,30.07,0
130,2009,5,10,16,True,0.276923077,58,28,15.8,1,10.0,58,31.0,29.94,19748
320,2008,11,15,1,False,0.978583196,69,14,5.0,1,10.0,45,11.0,30.1,0
212,2009,7,31,4,False,0.586288416,62,28,12.8,4,10.0,93,7.0,29.94,0
223,2009,8,11,4,False,0.6,66,30,9.3,2,10.0,90,5.0,29.98,0
136,2009,5,16,22,False,0.694736842,71,30,6.4,0,10.0,61,0.0,29.88,0
124,2009,5,4,4,False,0.583433373,61,20,8.1,3,10.0,96,5.0,30.08,0
37,2009,2,6,1,False,0.99047619,53,13,7.5,3,10.0,86,9.0,29.86,0
169,2009,6,18,1,False,0.757336343,66,29,11.0,3,10.0,87,3.0,29.86,0
242,2009,8,30,1,False,0.855683269,61,27,15.8,1,10.0,90,18.0,29.83,0
268,2008,9,24,19,True,0.579529737,66,29,10.1,1,10.0,56,16.0,29.89,59
218,2009,8,6,22,False,0.699401198,66,27,12.9,2,10.0,81,17.0,30.04,0
332,2008,11,27,1,False,1.015280136,56,29,7.2,3,9.0,93,0.0,29.98,0
318,2008,11,13,4,False,0.677577741,60,28,6.0,2,10.0,96,0.0,30.22,0
265,2008,9,21,22,False,0.819178082,63,27,14.4,1,10.0,84,11.0,29.96,0
66,2009,3,7,1,False,0.889684814,52,28,6.3,1,10.0,86,6.0,30.1,0
85,2009,3,26,4,False,0.666218035,57,27,15.7,2,10.0,90,10.0,30.05,0
277,2008,10,3,19,True,0.600570613,65,19,8.5,4,10.0,70,14.0,29.76,0
329,2008,11,24,19,False,0.81450253,54,15,2.7,3,10.0,67,0.0,30.01,0
143,2009,5,23,13,True,0.061200924,53,24,12.7,4,9.0,69,17.0,29.97,12583
187,2009,7,6,19,True,0.459704881,62,27,15.8,1,10.0,72,18.0,29.97,2065
53,2009,2,22,19,True,0.685157421,56,15,9.4,4,10.0,83,7.0,29.99,0
139,2009,5,19,10,True,0.146682189,59,28,14.4,2,10.0,67,15.0,29.97,24743
62,2009,3,3,19,True,0.665697674,54,20,17.3,3,10.0,64,20.0,29.85,0
34,2009,2,3,13,True,0.153846154,56,32,3.1,0,5.0,72,5.0,30.02,24745
190,2009,7,9,7,True,0.358769932,60,26,14.7,3,10.0,83,8.0,29.98,6537
115,2009,4,25,7,True,0.378378378,52,26,18.0,3,10.0,77,16.0,30.14,6356
160,2009,6,9,19,True,0.464932127,62,26,11.2,4,10.0,81,9.0,29.93,317
82,2009,3,23,13,True,0.059701493,49,29,13.5,0,10.0,43,16.0,30.35,33387
330,2008,11,25,10,True,0.096283784,55,36,3.3,4,7.0,87,7.0,30.05,618
117,2009,4,27,4,False,0.594627595,52,26,16.8,4,10.0,74,10.0,29.99,0
105,2009,4,15,16,True,0.29040404,49,28,20.5,1,10.0,57,30.0,30.11,19527
219,2009,8,7,10,True,0.162064826,64,27,16.1,2,10.0,65,11.0,30.07,24698
147,2009,5,27,7,True,0.352468427,60,30,11.4,1,10.0,75,0.0,29.89,0
30,2009,1,30,13,True,0.157212318,52,29,4.8,0,8.0,75,3.0,30.25,21150
14,2009,1,14,7,True,0.438983051,55,9,2.3,0,10.0,89,0.0,30.22,18
168,2009,6,17,22,False,0.664036077,62,26,14.0,3,10.0,84,11.0,29.88,0
292,2008,10,18,16,True,0.368421053,59,29,10.3,2,10.0,70,17.0,30.01,9282
206,2009,7,25,19,True,0.471962617,60,29,15.0,1,9.0,86,20.0,29.94,1985
139,2009,5,19,22,False,0.691501746,59,28,14.4,1,10.0,77,10.0,29.95,0
204,2009,7,23,16,True,0.260465116,60,26,13.6,2,10.0,70,20.0,29.89,21170
152,2009,6,1,13,True,0.059293044,59,27,10.9,3,10.0,68,15.0,29.93,18736
51,2009,2,20,7,True,0.397881997,54,32,1.3,3,10.0,86,3.0,30.18,869
141,2009,5,21,1,False,0.771726535,57,30,10.4,0,10.0,83,7.0,29.9,0
